dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,76.164507,129.248174,0.000048,0.004767,0.238355,11.917772,6.281393
0.020000,76.164466,129.248174,0.000089,0.002081,-0.134329,-18.634233,6.281396
0.020000,76.164372,129.248175,0.000183,0.004681,0.130032,13.218075,6.281402
0.020000,76.164206,129.248175,0.000349,0.008322,0.182044,2.600579,6.281414
0.020000,76.163946,129.248175,0.000609,0.013003,0.234053,2.600477,6.281431
0.020000,76.163571,129.248176,0.000984,0.018724,0.286060,2.600310,6.281456
0.020000,76.163061,129.248177,0.001494,0.025486,0.338061,2.600061,6.281490
0.020000,76.162396,129.248178,0.002159,0.033287,0.390055,2.599714,6.281534
0.020000,76.161553,129.248179,0.003002,0.042127,0.442040,2.599252,6.281590
0.020000,76.160513,129.248181,0.004042,0.052008,0.494013,2.598660,6.281660
0.020000,76.159254,129.248183,0.005301,0.062927,0.545972,2.597920,6.281744
0.020000,76.157757,129.248185,0.006798,0.074885,0.597912,2.597014,6.281843
0.020000,76.155999,129.248187,0.008556,0.087882,0.649831,2.595927,6.281961
0.020000,76.153961,129.248190,0.010594,0.101916,0.701723,2.594639,6.282097
0.020000,76.151621,129.248192,0.012934,0.116988,0.753586,2.593134,6.282252
0.020000,76.148959,129.248194,0.015596,0.133096,0.805414,2.591393,6.282430
0.020000,76.145954,129.248196,0.018601,0.150240,0.857202,2.589398,6.282630
0.020000,76.142586,129.248198,0.021969,0.168419,0.908944,2.587128,6.282855
0.020000,76.138833,129.248198,0.025722,0.187632,0.960636,2.584563,6.283105
0.020000,76.148223,129.248199,0.035111,0.469470,14.091882,656.562318,0.000197
0.020000,76.164665,129.248205,0.051553,0.822114,17.632219,177.016833,0.000503
0.020000,76.182709,129.248217,0.069597,0.902190,4.003806,-681.420613,0.000838
0.020000,76.202428,129.248237,0.089317,0.985971,4.189016,9.260457,0.001204
0.020000,76.223897,129.248268,0.110786,1.073451,4.374042,9.251336,0.001603
0.020000,76.247197,129.248310,0.134086,1.165016,4.578240,10.209889,0.002036
0.020000,76.272402,129.248367,0.159291,1.260238,4.761100,9.142983,0.002505
0.020000,76.299579,129.248442,0.186468,1.358854,4.930769,8.483487,0.003010
0.020000,76.328802,129.248538,0.215691,1.461154,5.115026,9.212843,0.003553
0.020000,76.360162,129.248659,0.247051,1.568004,5.342516,11.374499,0.004135
0.020000,76.393717,129.248808,0.280606,1.677767,5.488151,7.281756,0.004758
0.020000,76.429541,129.248990,0.316431,1.791243,5.673774,9.281120,0.005424
0.020000,76.467727,129.249211,0.354618,1.909317,5.903718,11.497193,0.006133
0.020000,76.508328,129.249475,0.395220,2.030101,6.039162,6.772218,0.006887
0.020000,76.551434,129.249789,0.438327,2.155361,6.263019,11.192838,0.007687
0.020000,76.597111,129.250160,0.484006,2.283936,6.428733,8.285707,0.008535
0.020000,76.645439,129.250594,0.532335,2.416492,6.627812,9.953930,0.009432
0.020000,76.696489,129.251100,0.583388,2.552629,6.806880,8.953398,0.010379
0.020000,76.750342,129.251685,0.637243,2.692771,7.007100,10.011040,0.011378
0.020000,76.807061,129.252361,0.693966,2.836145,7.168688,8.079385,0.012430
0.020000,76.866739,129.253135,0.753650,2.984172,7.401322,11.631674,0.013536
0.020000,76.929434,129.254021,0.816351,3.135064,7.544639,7.165857,0.014698
0.020000,76.995227,129.255028,0.882152,3.290040,7.748779,10.207019,0.015917
0.020000,77.064201,129.256170,0.951135,3.449174,7.956712,10.396662,0.017195
0.020000,77.136420,129.257460,1.023366,3.611542,8.118396,8.084197,0.018532
0.020000,77.211962,129.258913,1.098921,3.777761,8.310969,9.628663,0.019931
0.020000,77.290901,129.260544,1.177878,3.947829,8.503366,9.619830,0.021392
0.020000,77.373323,129.262371,1.260320,4.122100,8.713562,10.509781,0.022916
0.020000,77.459294,129.264409,1.346315,4.299753,8.882637,8.453757,0.024505
0.020000,77.548890,129.266680,1.435940,4.481242,9.074466,9.591464,0.026161
0.020000,77.642187,129.269201,1.529271,4.666566,9.266219,9.587662,0.027884
0.020000,77.739224,129.271995,1.626348,4.853857,9.364504,4.914232,0.029675
0.020000,77.840002,129.275080,1.727173,5.041242,9.369285,0.239066,0.031534
0.020000,77.944521,129.278478,1.831748,5.228720,9.373909,0.231205,0.033461
0.020000,78.052783,129.282210,1.940073,5.416289,9.378423,0.225678,0.035456
0.020000,78.164794,129.286299,2.052159,5.604284,9.399729,1.065293,0.037518
0.020000,78.280552,129.290767,2.168003,5.792203,9.395954,-0.188737,0.039647
0.020000,78.400055,129.295639,2.287606,5.980125,9.396132,0.008894,0.041843
0.020000,78.523304,129.300939,2.410968,6.168137,9.400593,0.223073,0.044107
0.020000,78.650309,129.306693,2.538104,6.356780,9.432149,1.577774,0.046436
0.020000,78.781066,129.312926,2.669010,6.545299,9.425922,-0.311353,0.048833
0.020000,78.915572,129.319666,2.803684,6.733719,9.421016,-0.245300,0.051295
0.020000,79.053845,129.326940,2.942148,6.923184,9.473248,2.611626,0.053823
0.020000,79.195866,129.334776,3.084385,7.111854,9.433523,-1.986275,0.056417
0.020000,79.341657,129.343204,3.230420,7.301743,9.494443,3.046016,0.059076
0.020000,79.491203,129.352254,3.380239,7.490969,9.461284,-1.657974,0.061800
0.020000,79.644521,129.361956,3.533864,7.681250,9.514040,2.637821,0.064589
0.020000,79.801605,129.372341,3.691291,7.871320,9.503524,-0.525787,0.067442
0.020000,79.962455,129.383441,3.852523,8.061632,9.515573,0.602419,0.070358
0.020000,80.127085,129.395290,4.017579,8.252795,9.558154,2.129057,0.073338
0.020000,80.295490,129.407920,4.186457,8.443910,9.555782,-0.118574,0.076381
0.020000,80.467673,129.421367,4.359164,8.635356,9.572283,0.825011,0.079487
0.020000,80.643638,129.435664,4.535709,8.827228,9.593589,1.065334,0.082654
0.020000,80.823388,129.450847,4.716100,9.019534,9.615312,1.086128,0.085882
0.020000,81.006929,129.466953,4.900345,9.212284,9.637525,1.110637,0.089172
0.020000,81.194263,129.484019,5.088455,9.405490,9.660302,1.138869,0.092522
0.020000,81.385394,129.502082,5.280439,9.599165,9.683718,1.170823,0.095931
