dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,76.110750,99.248222,0.000048,0.004767,0.238355,11.917772,6.281393
0.020000,76.110792,99.248222,0.000089,0.002081,-0.134329,-18.634233,6.281396
0.020000,76.110885,99.248222,0.000183,0.004681,0.130032,13.218075,6.281402
0.020000,76.111052,99.248222,0.000349,0.008322,0.182044,2.600579,6.281414
0.020000,76.111312,99.248221,0.000609,0.013003,0.234053,2.600477,6.281431
0.020000,76.111686,99.248221,0.000984,0.018724,0.286060,2.600310,6.281456
0.020000,76.112196,99.248220,0.001494,0.025486,0.338061,2.600061,6.281490
0.020000,76.112862,99.248219,0.002159,0.033287,0.390055,2.599714,6.281534
0.020000,76.113704,99.248217,0.003002,0.042127,0.442040,2.599252,6.281590
0.020000,76.114745,99.248216,0.004042,0.052008,0.494013,2.598660,6.281660
0.020000,76.116003,99.248214,0.005301,0.062927,0.545972,2.597920,6.281744
0.020000,76.117501,99.248212,0.006798,0.074885,0.597912,2.597014,6.281843
0.020000,76.119258,99.248210,0.008556,0.087882,0.649831,2.595927,6.281961
0.020000,76.121297,99.248207,0.010594,0.101916,0.701723,2.594639,6.282097
0.020000,76.123636,99.248205,0.012934,0.116988,0.753586,2.593134,6.282252
0.020000,76.126298,99.248203,0.015596,0.133096,0.805414,2.591393,6.282430
0.020000,76.129303,99.248201,0.018601,0.150240,0.857202,2.589398,6.282630
0.020000,76.132672,99.248199,0.021969,0.168419,0.908944,2.587128,6.282855
0.020000,76.136424,99.248198,0.025722,0.187632,0.960636,2.584563,6.283105
0.020000,76.154130,99.248200,0.043428,0.885312,34.883978,1696.167138,0.000197
0.020000,76.179742,99.248209,0.069039,1.280558,19.762296,-756.084123,0.000503
0.020000,76.207847,99.248228,0.097144,1.405260,6.235135,-676.358023,0.000838
0.020000,76.238561,99.248259,0.127859,1.535725,6.523212,14.403829,0.001204
0.020000,76.272000,99.248306,0.161298,1.671943,6.810932,14.385975,0.001603
0.020000,76.308290,99.248372,0.197588,1.814512,7.128427,15.874793,0.002036
0.020000,76.347545,99.248461,0.236843,1.962764,7.412595,14.208361,0.002505
0.020000,76.389871,99.248578,0.279169,2.116286,7.676116,13.176087,0.003010
0.020000,76.435381,99.248727,0.324680,2.275531,7.962242,14.306267,0.003553
0.020000,76.484218,99.248915,0.373516,2.441842,8.315562,17.666032,0.004135
0.020000,76.536471,99.249147,0.425770,2.612667,8.541262,11.284991,0.004758
0.020000,76.592255,99.249431,0.481555,2.789249,8.829075,14.390624,0.005424
0.020000,76.651713,99.249775,0.541014,2.972963,9.185716,17.832072,0.006133
0.020000,76.714929,99.250187,0.604231,3.160863,9.395009,10.464627,0.006887
0.020000,76.782041,99.250676,0.671345,3.355698,9.741739,17.336525,0.007687
0.020000,76.853152,99.251252,0.742458,3.555652,9.997690,12.797564,0.008535
0.020000,76.928384,99.251928,0.817693,3.761758,10.305308,15.380894,0.009432
0.020000,77.007848,99.252715,0.897161,3.973387,10.581464,13.807808,0.010379
0.020000,77.091667,99.253627,0.980985,4.191191,10.890204,15.436987,0.011378
0.020000,77.179940,99.254678,1.069264,4.413960,11.138435,12.411537,0.012430
0.020000,77.272810,99.255884,1.162142,4.643896,11.496816,17.919066,0.013536
0.020000,77.370364,99.257261,1.259706,4.878211,11.715736,10.945996,0.014698
0.020000,77.472728,99.258828,1.362082,5.118787,12.028802,15.653281,0.015917
0.020000,77.580028,99.260605,1.469397,5.365731,12.347195,15.919637,0.017195
0.020000,77.692362,99.262612,1.581749,5.617591,12.593019,12.291224,0.018532
0.020000,77.809847,99.264871,1.699255,5.875316,12.886224,14.660225,0.019931
0.020000,77.932598,99.267408,1.822033,6.138884,13.178405,14.609077,0.021392
0.020000,78.060743,99.270247,1.950209,6.408833,13.497437,15.951604,0.022916
0.020000,78.194383,99.273417,2.083886,6.683865,13.751636,12.709952,0.024505
0.020000,78.333632,99.276945,2.223180,6.964670,14.040240,14.430195,0.026161
0.020000,78.478603,99.280864,2.368204,7.251223,14.327655,14.370742,0.027884
0.020000,78.629353,99.285203,2.519016,7.540598,14.468712,7.052877,0.029675
0.020000,78.785877,99.289995,2.675614,7.829866,14.463431,-0.264056,0.031534
0.020000,78.948171,99.295271,2.837994,8.119003,14.456841,-0.329502,0.033461
0.020000,79.116231,99.301065,3.006153,8.407982,14.448952,-0.394485,0.035456
0.020000,79.290061,99.307410,3.180099,8.697301,14.465925,0.848656,0.037518
0.020000,79.469650,99.314342,3.359822,8.986155,14.442700,-1.161244,0.039647
0.020000,79.654989,99.321898,3.545315,9.274640,14.424289,-0.920535,0.041843
0.020000,79.846070,99.330115,3.736573,9.562863,14.411127,-0.658119,0.044107
0.020000,80.042901,99.339032,3.933605,9.851632,14.438474,1.367360,0.046436
0.020000,80.245466,99.348688,4.136400,10.139746,14.405688,-1.639318,0.048833
0.020000,80.453749,99.359125,4.344944,10.427213,14.373350,-1.616901,0.051295
0.020000,80.667768,99.370384,4.559260,10.715768,14.427759,2.720454,0.053823
0.020000,80.887484,99.382507,4.779310,11.002529,14.338019,-4.486961,0.056417
0.020000,81.112919,99.395540,5.005122,11.290572,14.402147,3.206384,0.059076
0.020000,81.344036,99.409525,5.236661,11.576948,14.318799,-4.167409,0.061800
0.020000,81.580847,99.424510,5.473946,11.864272,14.366230,2.371563,0.064589
0.020000,81.823329,99.440541,5.716957,12.150547,14.313750,-2.624011,0.067442
0.020000,82.071467,99.457665,5.965686,12.436426,14.293948,-0.990119,0.070358
0.020000,82.325267,99.475932,6.220142,12.722804,14.318915,1.248358,0.073338
0.020000,82.584703,99.495390,6.480307,13.008248,14.272154,-2.338033,0.076381
0.020000,82.849762,99.516089,6.746172,13.293288,14.252046,-1.005406,0.079487
