dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,79.575957,111.955979,0.000048,0.004798,0.239889,11.994426,6.229042
0.020000,79.575957,111.955979,0.000240,0.014393,0.479777,11.994426,6.229036
0.020000,79.575957,111.955979,0.000672,0.028787,0.719666,11.994426,6.229025
0.020000,79.575957,111.955979,0.001439,0.047978,0.959554,11.994426,6.229004
0.020000,79.575957,111.955979,0.002639,0.071967,1.199443,11.994426,6.228972
0.020000,79.575957,111.955979,0.004366,0.100753,1.439331,11.994426,6.228925
0.020000,79.575957,111.955979,0.006717,0.134338,1.679220,11.994426,6.228862
0.020000,79.575957,111.955979,0.009787,0.172720,1.919108,11.994426,6.228779
0.020000,79.575957,111.955979,0.013674,0.215900,2.158997,11.994426,6.228674
0.020000,79.575957,111.955979,0.018471,0.263877,2.398885,11.994426,6.228544
0.020000,79.575957,111.955979,0.024277,0.316653,2.638774,11.994426,6.228387
0.020000,79.575957,111.955979,0.031186,0.374226,2.878662,11.994426,6.228201
0.020000,79.575957,111.955979,0.039294,0.436597,3.118551,11.994426,6.227982
0.020000,79.575957,111.955979,0.048697,0.503766,3.358439,11.994426,6.227728
0.020000,79.585204,111.955465,0.059492,0.575732,3.598328,11.994426,6.227437
0.020000,79.597468,111.954778,0.071775,0.652497,3.838216,11.994426,6.227105
0.020000,79.611312,111.953998,0.085640,0.734059,4.078105,11.994426,6.226731
0.020000,79.626829,111.953118,0.101185,0.820419,4.317993,11.994426,6.226312
0.020000,79.644123,111.952129,0.118505,0.911576,4.557882,11.994426,6.225845
0.020000,79.663282,111.951025,0.137696,1.007532,4.797770,11.994426,6.225327
0.020000,79.684404,111.949795,0.158854,1.108285,5.037659,11.994426,6.224756
0.020000,79.707586,111.948432,0.182075,1.213836,5.277547,11.994426,6.224130
0.020000,79.732920,111.946925,0.207456,1.324185,5.517436,11.994426,6.223446
0.020000,79.760507,111.945265,0.235091,1.439331,5.757324,11.994426,6.222701
0.020000,79.790437,111.943440,0.265077,1.559275,5.997213,11.994426,6.221892
0.020000,79.822807,111.941440,0.297510,1.684017,6.237101,11.994426,6.221018
0.020000,79.857716,111.939250,0.332485,1.813557,6.476990,11.994426,6.220076
0.020000,79.895254,111.936859,0.370100,1.947895,6.716879,11.994426,6.219063
0.020000,79.935518,111.934252,0.410449,2.087030,6.956767,11.994426,6.217976
0.020000,79.978603,111.931413,0.453629,2.230963,7.196656,11.994426,6.216813
0.020000,80.024606,111.928326,0.499736,2.379694,7.436544,11.994426,6.215572
0.020000,80.073621,111.924975,0.548865,2.533223,7.676433,11.994426,6.214251
0.020000,80.125742,111.921339,0.601113,2.691549,7.916321,11.994426,6.212845
0.020000,80.181065,111.917400,0.656575,2.854673,8.156210,11.994426,6.211354
0.020000,80.239684,111.913136,0.715348,3.022595,8.396098,11.994426,6.209775
0.020000,80.301692,111.908523,0.777527,3.195315,8.635987,11.994426,6.208105
0.020000,80.367183,111.903539,0.843208,3.372833,8.875875,11.994426,6.206342
